,POSTAL_CODE,NUTS3_ID,NUTS1_NAME,NUTS2_NAME,NUTS3_NAME,RLK2022,KTU2022
0,41363,DEA1D,Nordrhein-Westfalen,Düsseldorf,Rhein-Kreis Neuss,sehr zentral,Städtischer Kreis
1,41366,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,sehr zentral,Städtischer Kreis
2,41748,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,sehr zentral,Städtischer Kreis
3,41749,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,sehr zentral,Städtischer Kreis
4,41751,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,sehr zentral,Städtischer Kreis
5,41747,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,sehr zentral,Städtischer Kreis
6,50667,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
7,50668,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
8,50670,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
9,41836,DEA29,Nordrhein-Westfalen,Köln,Heinsberg,sehr zentral,Städtischer Kreis
10,41849,DEA29,Nordrhein-Westfalen,Köln,Heinsberg,sehr zentral,Städtischer Kreis
11,42499,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,sehr zentral,Städtischer Kreis
12,51465,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,sehr zentral,Städtischer Kreis
13,51467,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,sehr zentral,Städtischer Kreis
14,51469,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,sehr zentral,Städtischer Kreis
15,51491,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,sehr zentral,Städtischer Kreis
16,42929,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,sehr zentral,Städtischer Kreis
17,53809,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,sehr zentral,Städtischer Kreis
18,48683,DEA34,Nordrhein-Westfalen,Münster,Borken,sehr zentral,Städtischer Kreis
19,46419,DEA34,Nordrhein-Westfalen,Münster,Borken,sehr zentral,Städtischer Kreis
20,48739,DEA34,Nordrhein-Westfalen,Münster,Borken,sehr zentral,Städtischer Kreis
21,32120,DEA43,Nordrhein-Westfalen,Detmold,Herford,sehr zentral,Städtischer Kreis
22,33014,DEA44,Nordrhein-Westfalen,Detmold,Höxter,peripher,Ländlicher Kreis mit Verdichtungsansätzen
23,33129,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,zentral,Städtischer Kreis
24,33098,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,zentral,Städtischer Kreis
25,33100,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,zentral,Städtischer Kreis
26,33104,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,zentral,Städtischer Kreis
27,33106,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,zentral,Städtischer Kreis
28,44803,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
29,44805,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
30,44807,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
31,44809,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
32,44789,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
33,44791,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
34,44793,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
35,44795,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
36,44797,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
37,44799,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
38,44801,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
39,44866,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
40,44867,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
41,44869,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
42,44879,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Stadt",sehr zentral,kreisfreie Großstadt
43,50997,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
44,50999,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
45,51061,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
46,51063,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
47,51065,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
48,51067,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
49,51069,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
50,51103,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
51,51105,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
52,51107,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
53,51109,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
54,51143,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
55,51145,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
56,51147,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
57,51149,DEA23,Nordrhein-Westfalen,Köln,"Köln, Stadt",sehr zentral,kreisfreie Großstadt
58,51371,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Stadt",sehr zentral,kreisfreie Großstadt
59,51373,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Stadt",sehr zentral,kreisfreie Großstadt
60,51375,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Stadt",sehr zentral,kreisfreie Großstadt
61,51377,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Stadt",sehr zentral,kreisfreie Großstadt
62,51379,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Stadt",sehr zentral,kreisfreie Großstadt
63,51381,DEA24,Nordrhein-Westfalen,Köln,"Leverkusen, Stadt",sehr zentral,kreisfreie Großstadt
64,52249,DEA2D,Nordrhein-Westfalen,Köln,Städteregion Aachen,sehr zentral,Städtischer Kreis
65,52134,DEA2D,Nordrhein-Westfalen,Köln,Städteregion Aachen,sehr zentral,Städtischer Kreis
66,46499,DEA1F,Nordrhein-Westfalen,Düsseldorf,Wesel,sehr zentral,Städtischer Kreis
67,47495,DEA1F,Nordrhein-Westfalen,Düsseldorf,Wesel,sehr zentral,Städtischer Kreis
68,47665,DEA1F,Nordrhein-Westfalen,Düsseldorf,Wesel,sehr zentral,Städtischer Kreis
69,52499,DEA2D,Nordrhein-Westfalen,Köln,Städteregion Aachen,sehr zentral,Städtischer Kreis
