,age,income,RLK2022,no_cars,CO2_cruise,CO2_flight,CO2_public_transport,CO2_car_total,CO2_mobility,belief_diff_mobility,cluster_id
0,65,3000.0,zentral,1.0,0.0,2440.0,0.0,1432.728,3872.728,-14.0,3
1,59,800.0,sehr zentral,2.0,2710.0,5985.0,107.8,2981.7315,11784.5315,-42.0,0
2,60,1750.0,peripher,0.0,0.0,598.5,107.8,0.0,706.3,11.0,2
3,73,2500.0,sehr zentral,1.0,0.0,2287.6,0.0,1432.728,3720.328,-31.0,3
4,43,2500.0,sehr zentral,0.0,0.0,0.0,107.8,0.0,107.8,-2.0,2
5,49,2300.0,zentral,1.0,0.0,532.0,107.8,3581.82,4221.62,22.0,1
6,57,600.0,zentral,1.0,0.0,0.0,0.0,0.0,0.0,72.0,3
7,39,5000.0,sehr zentral,2.0,4878.0,2074.8,107.8,10371.24,17431.84,-67.0,0
8,62,0.0,sehr zentral,2.0,0.0,0.0,107.8,5008.527,5116.327,-34.0,1
9,45,2600.0,sehr zentral,0.0,0.0,3894.0,107.8,0.0,4001.8,-48.0,2
10,68,7400.0,peripher,2.0,0.0,1330.0,0.0,5360.12,6690.12,-49.0,3
11,48,5000.0,sehr zentral,2.0,0.0,0.0,0.0,6482.025,6482.025,-66.0,3
12,50,2500.0,sehr zentral,1.0,0.0,0.0,0.0,3581.82,3581.82,-3.0,3
13,61,4500.0,peripher,1.0,0.0,0.0,107.8,1391.2575,1499.0575,-10.0,1
14,56,1400.0,peripher,2.0,0.0,0.0,107.8,5193.639,5301.439,-50.0,1
15,33,6500.0,zentral,1.0,0.0,532.0,107.8,2592.81,3232.61,8.0,1
16,71,2900.0,sehr zentral,1.0,0.0,0.0,0.0,1814.967,1814.967,-4.0,3
17,59,4500.0,zentral,1.0,0.0,0.0,0.0,2149.092,2149.092,37.0,3
18,21,1800.0,sehr zentral,2.0,0.0,0.0,107.8,3.71002,111.51002,26.0,2
19,56,1700.0,sehr zentral,1.0,0.0,0.0,0.0,179.091,179.091,30.0,3
