,NUTS3_ID,NUTS1_NAME,NUTS2_NAME,NUTS3_NAME,POSTAL_CODE,CLASSIFICATION
0,DEA1D,Nordrhein-Westfalen,Düsseldorf,Rhein-Kreis Neuss,41363,PU
1,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,41366,PU
2,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,41748,PU
3,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,41749,PU
4,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,41751,PU
5,DEA1E,Nordrhein-Westfalen,Düsseldorf,Viersen,41747,PU
6,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",50667,PU
7,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",50668,PU
8,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",50670,PU
9,DEA29,Nordrhein-Westfalen,Köln,Heinsberg,41836,PU
10,DEA29,Nordrhein-Westfalen,Köln,Heinsberg,41849,PU
11,DEA2A,Nordrhein-Westfalen,Köln,Oberbergischer Kreis,42499,PU
12,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,51465,PU
13,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,51467,PU
14,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,51469,PU
15,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,51491,PU
16,DEA2B,Nordrhein-Westfalen,Köln,Rheinisch-Bergischer Kreis,42929,PU
17,DEA2C,Nordrhein-Westfalen,Köln,Rhein-Sieg-Kreis,53809,PU
18,DEA34,Nordrhein-Westfalen,Münster,Borken,48683,IN
19,DEA34,Nordrhein-Westfalen,Münster,Borken,46419,IN
20,DEA34,Nordrhein-Westfalen,Münster,Borken,48739,IN
21,DEA43,Nordrhein-Westfalen,Detmold,Herford,32120,PU
22,DEA44,Nordrhein-Westfalen,Detmold,Höxter,33014,PR
23,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,33129,IN
24,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,33098,IN
25,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,33100,IN
26,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,33104,IN
27,DEA47,Nordrhein-Westfalen,Detmold,Paderborn,33106,IN
28,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44803,PU
29,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44805,PU
30,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44807,PU
31,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44809,PU
32,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44789,PU
33,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44791,PU
34,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44793,PU
35,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44795,PU
36,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44797,PU
37,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44799,PU
38,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44801,PU
39,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44866,PU
40,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44867,PU
41,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44869,PU
42,DEA51,Nordrhein-Westfalen,Arnsberg,"Bochum, Kreisfreie Stadt",44879,PU
43,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",50997,PU
44,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",50999,PU
45,DEA23,Nordrhein-Westfalen,Köln,"Köln, Kreisfreie Stadt",51061,PU
